"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02809833","Use of Tocilizumab for Rheumatoid Arthritis (RA) in Daily Routine",,"Completed","Has Results","Rheumatoid Arthritis","Drug: Tocilizumab","Percentage of Participants With Categorized Laboratory Data Available at Baseline|Percentage of Participants With Categorized Laboratory Data Available at Week 24|Percentage of Participants With Categorized Laboratory Data Available at Week 52|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 4|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 8|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 12|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 16|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 20|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 24|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 28|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 32|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 36|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 40|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 44|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 48|Percentage of Participants With or Without Tocilizumab Dose Adjustment or Interruption at Week 52|Percentage of Participants With Tocilizumab Dose Adjustments by Reason|28-Joint Disease Activity Score (DAS28) at Baseline|Change in DAS28 From Baseline to Week 4|Change in DAS28 From Baseline to Week 8|Change in DAS28 From Baseline to Week 12|Change in DAS28 From Baseline to Week 16|Change in DAS28 From Baseline to Week 20|Change in DAS28 From Baseline to Week 24|Change in DAS28 From Baseline to Week 28|Change in DAS28 From Baseline to Week 32|Change in DAS28 From Baseline to Week 36|Change in DAS28 From Baseline to Week 40|Change in DAS28 From Baseline to Week 44|Change in DAS28 From Baseline to Week 48|Change in DAS28 From Baseline to Week 52|TJC at Baseline|Change in TJC From Baseline to Week 12|Change in TJC From Baseline to Week 24|Change in TJC From Baseline to Week 36|Change in TJC From Baseline to Week 52|SJC at Baseline|Change in SJC From Baseline to Week 12|Change in SJC From Baseline to Week 24|Change in SJC From Baseline to Week 36|Change in SJC From Baseline to Week 52|VAS Score of Participant-Assessed Disease Activity at Baseline|Change in VAS Score of Participant-Assessed Disease Activity From Baseline to Week 12|Change in VAS Score of Participant-Assessed Disease Activity From Baseline to Week 24|Change in VAS Score of Participant-Assessed Disease Activity From Baseline to Week 36|Change in VAS Score of Participant-Assessed Disease Activity From Baseline to Week 52|VAS Score of Physician-Assessed Disease Activity at Baseline|Change in VAS Score of Physician-Assessed Disease Activity From Baseline to Week 12|Change in VAS Score of Physician-Assessed Disease Activity From Baseline to Week 24|Change in VAS Score of Physician-Assessed Disease Activity From Baseline to Week 36|Change in VAS Score of Physician-Assessed Disease Activity From Baseline to Week 52|Percentage of Participants With European League Against Rheumatism (EULAR) Response at Week 4|Percentage of Participants With EULAR Response at Week 12|Percentage of Participants With EULAR Response at Week 24|Percentage of Participants With EULAR Response at Week 36|Percentage of Participants With EULAR Response at Week 52|Percentage of Participants With Low Disease Activity Score (LDAS) According to DAS28 at Baseline|Percentage of Participants With LDAS According to DAS28 at Week 12|Percentage of Participants With LDAS According to DAS28 at Week 24|Percentage of Participants With LDAS According to DAS28 at Week 36|Percentage of Participants With LDAS According to DAS28 at Week 52|Percentage of Participants With Remission According to DAS28 at Baseline|Percentage of Participants With Remission According to DAS28 at Week 12|Percentage of Participants With Remission According to DAS28 at Week 24|Percentage of Participants With Remission According to DAS28 at Week 36|Percentage of Participants With Remission According to DAS28 at Week 52|Percentage of Participants With Minimum Clinically Important Improvement (MCII) According to DAS28 at Week 12|Percentage of Participants With MCII According to DAS28 at Week 24|Percentage of Participants With MCII According to DAS28 at Week 36|Percentage of Participants With MCII According to DAS28 at Week 52|Percentage of Participants With AEs Considered Causally Related to Tocilizumab","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)",,"850","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML22734","January 2009","March 2012","March 2012","June 22, 2016","October 24, 2016","October 24, 2016","Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT02809833"
2,"NCT03970226","Tocilizumab in Children With ACP",,"Recruiting","No Results Available","Adamantinomatous Craniopharyngioma","Drug: Tocilizumab","Phase 0: Presence of Tocilizumab and Metabolites|Feasibility Phase: Overall Response Rate (ORR)|Feasibility Phase: Partial Response Rate (PR)|Feasibility Phase: Complete Response Rate (CR)|Feasibility Phase: 1-Year Disease Stabilization|Phase 0: IL6 and Inflammatory Cytokines|Feasibility Phase: Progression Free Survival (PFS)|Feasibility Phase: Toxicity Profile|Feasibility Phase: Pathway Activation|Feasibility Phase: Immunity|Feasibility Phase: Cytokines","University of Colorado, Denver|National Cancer Institute (NCI)","All","2 Years to 21 Years   (Child, Adult)","Early Phase 1","27","Other|NIH","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-2143.cc|1R03CA235200-01|P30CA046934","June 27, 2019","December 2024","December 2025","May 31, 2019",,"July 5, 2019","Children's Hospital Colorado, Aurora, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT03970226"
3,"NCT04356937","Efficacy of Tocilizumab on Patients With COVID-19",,"Not yet recruiting","No Results Available","SARS-CoV 2","Drug: Tocilizumab|Drug: Placebos","Proportion of patients that require mechanical ventilation|Requirement for inotropes and/or vasopressors|8-level Clinical improvement Scale|Duration of mechanical ventalition|Hospital discharge|Mortality|Duration of ICU stay|Duration of time on supplemental oxygen|The proportion of patients who require renal replacement therapy or have doubling of creatinine","Massachusetts General Hospital|Genentech, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","300","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2020P001159","April 27, 2020","June 30, 2020","August 30, 2020","April 22, 2020",,"April 22, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04356937"
4,"NCT03062579","A Longitudinal Study of ACTEMRA® (Tocilizumab) as Monotherapy in Highly Active NMOSD",,"Completed","No Results Available","Neuromyelitis Optica Spectrum Disorders|Neuromyelitis Optica|Devic's Disease","Drug: Tocilizumab","Median Number of Neuromyelitis Optica Spectrum Disorder (NMOSD) Attacks Per Year|Number of Participants with Adverse Events|Neurological Disability - Expanded Disability Scale Score (EDSS)|Timed 25-foot Walk|Change in Visual Acuity in eyes involved in NMOSD|Retinal Nerve Fiber Layer (RNFL) Thickness Determination|Ganglion Cell Complex (GCC) Thickness Determination|Full Field Visual Evoked Response (VEP) P100 waves|Number of new lesions by T2 hyperintensity in the spinal cord and brain MRI|Counts of peripheral blood plasma cells|Determination of serum immunoglobulins","Fu-Dong Shi|Tianjin Medical University General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB2017-YX-006","February 1, 2017","February 15, 2018","May 15, 2018","February 23, 2017",,"October 17, 2018","Tianjin Medical University General Hospital, Tianjin, Tianjin, China",,"https://ClinicalTrials.gov/show/NCT03062579"
5,"NCT02648035","EMBRACE-SC: Observational Study of Subcutaneous (SC) Tocilizumab Alone or in Combination With Conventional Disease-Modifying Antirheumatic Drugs (cDMARDs) in Rheumatoid Arthritis",,"Completed","No Results Available","Rheumatoid Arthritis","Biological: Tocilizumab","Percentage of Participants Still Receiving Subcutaneous Tocilizumab Therapy at 52 Weeks of Observation|Health Assessment Questionnaire (HAQ) Score|Visual Analog Scale (VAS) Pain Score in a 100 mm Scale|Patient Global Assessment of Disease Activity (PtGA) Score in a 100 mm VAS Scale|Percentage of Participants with Clinically Significant Changes in Laboratory Values|Percentage of Participants on Subcutaneous Tocilizumab Alone Versus Combination Therapy|Percentage of Participants Involved in Subcutaneous Tocilizumab Patient Support Programs (PSPs)|Percentage of Participants with Adverse Events (AEs), including Serious Adverse Events (SAEs), Non-Serious Adverse Drug Reactions (nsADRs), Injection Site Reactions (ISRs), and Adverse Events of Special Interest (AESIs)|Percentage of Participants with Infections Events (IEs), Including Serious and Non-Serious IEs|Percentage of Participants with IEs with Laboratory Abnormalities|Percentage of Participants with Dose Modification of Methotrexate (MTX) or Other Non-Biologic Disease-Modifying Antirheumatic Drugs (DMARDs) Due to AEs or IEs|Percentage of Participants with Dose Modification of Subcutaneous Tocilizumab Due to AEs or IEs|Percentage of Participants on Glucocorticoids (GCs) with AEs|Disease Activity Score 28 (DAS28)|Percentage of Participants with Good/Moderate Response According to the Classification of the European League Against Rheumatism (EULAR)","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)",,"200","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML29855","September 22, 2016","December 20, 2018","December 20, 2018","January 6, 2016",,"March 25, 2019","Private Practice Rheumatology, Merantzis, Agrinio, Greece|Rheumatology Private Practice, Athens, Greece|General Hospital of Athens KAT, Rheumatology, Athens, Greece|Rheumatology Private Practice, Athens, Greece|Rheumatology Private Practice, Chania, Greece|Private Practice Rheumatology, Papadimitriou, Drama, Greece|Rheumatology Private Practice, Eleusina, Greece|ATTIKO Hospital_4th University Internal Medicine Clinic, Haidari, Greece|Private Practice Rheumatology, Georgiadis, Ioannina, Greece|Rheumatology Private Practice, Kalithea, Athens, Greece|Private Practice Rheumatology, Kotrotsios, Karditsa, Greece|General Hospital of Kavala; Rheumatology, Kavala, Greece|Rheumatology Private Practice, Kifisia, Greece|Private Practice Rehumatology, Ziogas, Larisa, Greece|General Hospital of Mytilini, Rheumatology, Mytilini, Greece|Private Practice Rheumatology, Trontzas, Nea Smyrni, Greece|Private Practice Rheumatology, Stavropoulos, Patissia, Greece|Olympion Medical Center of Patras, Internal Medicine Clinic, Patras, Greece|Rheumatology Private Practice, Patra, Greece|Private Practice Rheumatology, Psaltis, Serres, Greece|Rheumatology Private Practice, Serres, Greece|Rheumatology Private Practice, Thessaloniki, Greece|General Hospital Agios Pavlos, Thessaloniki, Greece|Rheumatology Private Practice, Thessaloniki, Greece|Rheumatology Private Practice, Veroia, Greece|Rheumatology Private Practice, Volos, Greece",,"https://ClinicalTrials.gov/show/NCT02648035"
6,"NCT04375228","Study of Rituximab or Tocilizumab for Patients With Steroid-Dependent Immune-Related Adverse Events (irAEs)",,"Not yet recruiting","No Results Available","Immune-related Adverse Events|Advanced Solid Tumor","Drug: Rituximab|Drug: Tocilizumab","Percentage of Participants to Discontinue Steroid Treatment After Rituximab|Percentage of Participants to Discontinue Steroid Treatment After Tocilizumab|Number of Participants with a Change in CTCAE (v5.0) Grade|The Number Steroid-Dependent Immune-Related Adverse Events","Columbia University|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AAAS9173","May 2020","May 2023","February 2024","May 5, 2020",,"May 5, 2020","Johns Hopkins, Baltimore, Maryland, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Columbia University Irving Medical Center, Herbert Irving Comprehensive Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04375228"
7,"NCT01717170","Study of the Safety, Tolerability, and Bioactivity of Tocilizumab On Patients With Non-infectious UVEITIS: The STOP-UVEITIS Study","STOP-Uveitis","Unknown status","No Results Available","Intermediate Uveitis|Posterior Uveitis|Pan-uveitis","Drug: Tocilizumab","Frequency and severity of adverse events from baseline (BL) to month 6.|Frequency and severity of adverse events at month 12.","University of Nebraska","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 1|Phase 2","36","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","ML28522","March 2013","June 2017","December 2017","October 30, 2012",,"April 28, 2017","Truhlsen Eye Institute, University Of Nebraska Medical Center, Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT01717170"
8,"NCT04115423","A Retrospective Cohort Study on the Risk of Serious Infections in Rheumatoid Arthritis Patients Receiving Tocilizumab",,"Not yet recruiting","No Results Available","Infection|Rheumatoid Arthritis","Drug: Tocilizumab|Drug: Tumor Necrosis Factor Inhibitor (etanercept, infliximab, adalimumab, and golimumab)","Hazard ratio for serious infections|Hazard ratio for six subdivided groups of serious infections by organ class","Sungkyunkwan University|Ministry of Food and Drug Safety, Korea","All","18 Years and older   (Adult, Older Adult)",,"4540","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","SKKU-2019-TCZ","April 1, 2020","October 1, 2021","October 1, 2021","October 4, 2019",,"March 23, 2020",,,"https://ClinicalTrials.gov/show/NCT04115423"
9,"NCT02997956","Study of Tocilizumab in Patients With Hepatocellular Carcinoma (HCC) Undergoing Transarterial Chemoembolization (TACE)",,"Withdrawn","No Results Available","Hepatocellular Carcinoma","Drug: Tocilizumab|Procedure: Transcatheter Arterial Chemoembolization","Maximum Tolerated Dose of Tocilizumab|Median Progression Free Survival|Number of patients that respond to treatment|Number of patients alive at two years post treatment","University of Michigan Rogel Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UMCC 2015.105|HUM00104809","July 2017","July 2020","July 2022","December 20, 2016",,"April 25, 2017","The University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT02997956"
10,"NCT03554161","Tocilizumab for the Treatment of Refractory Behcet's Uveitis",,"Recruiting","No Results Available","Behcet Syndrome|Uveitis","Biological: Tocilizumab (TCZ)","Efficacy of Tocilizumab on BD Uveitis|Intraocular inflammation evaluation BOS24 index|Corticosteroid-tapering effects|Reduction of uveitis recurrence|Severity of uveitis on recurrence|Improvement of quality of life|Side effects of treatment","Wenjie Zheng|Peking Union Medical College Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","9","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TCZ-BDU-PUMCH","May 10, 2018","March 2020","March 2020","June 13, 2018",,"December 10, 2019","Peking Union Medical College Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03554161"
