title,drug,lng,lat,enrollment,status,locations,popuptext
Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,Ivermectin,-1.663439,42.805408,24,Recruiting,"Clinica Universidad de Navarra, Pamplona, Navarra, Spain","<b>Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial</b><br /><i>Recruiting, n = 24</i><br />Clinica Universidad de Navarra, Pamplona, Navarra, Spain"
Efficacy of Ivermectin as Add on Therapy in COVID19 Patients,Ivermectin,44.3755185,33.3458996,100,Completed,"General Directorate of Medical City, Bagdad, Baghdad, Iraq","<b>Efficacy of Ivermectin as Add on Therapy in COVID19 Patients</b><br /><i>Completed, n = 100</i><br />General Directorate of Medical City, Bagdad, Baghdad, Iraq"
Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19,Ivermectin,-58.4053845,-34.5952261,45,Recruiting,"Centro de Educación Médica e Investigaciones Clínicas ""Norberto Quirno"" CEMIC, Buenos Aires, Ciudad De Buenos Aires, Argentina","<b>Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19</b><br /><i>Recruiting, n = 45</i><br />Centro de Educación Médica e Investigaciones Clínicas ""Norberto Quirno"" CEMIC, Buenos Aires, Ciudad De Buenos Aires, Argentina"
Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study,Ivermectin,77.2120291,28.527476,50,Recruiting,"Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India","<b>Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study</b><br /><i>Recruiting, n = 50</i><br />Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India"
Efficacy of Ivermectin in COVID-19,Ivermectin,74.3726762,31.54089309999999,100,Recruiting,"Combined Military Hospital Lahore, Lahore, Punjab, Pakistan","<b>Efficacy of Ivermectin in COVID-19</b><br /><i>Recruiting, n = 100</i><br />Combined Military Hospital Lahore, Lahore, Punjab, Pakistan"
Ivermectin and Doxycycine in COVID-19 Treatment,Ivermectin,31.0023174,30.8055576,40,Not yet recruiting,"Sherief Abd-Elsalam, Tanta, Egypt","<b>Ivermectin and Doxycycine in COVID-19 Treatment</b><br /><i>Not yet recruiting, n = 40</i><br />Sherief Abd-Elsalam, Tanta, Egypt"
Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy,Ivermectin,-76.59273619999999,39.2967385,60,Not yet recruiting,"Johns Hopkins Hospital, Baltimore, Maryland, United States","<b>Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy</b><br /><i>Not yet recruiting, n = 60</i><br />Johns Hopkins Hospital, Baltimore, Maryland, United States"
The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment,Ivermectin,30.9991409,30.7924391,60,Not yet recruiting,"Tanta University, Tanta, Egypt","<b>The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment</b><br /><i>Not yet recruiting, n = 60</i><br />Tanta University, Tanta, Egypt"
New Antiviral Drugs for Treatment of COVID-19,Ivermectin,31.3589223,31.04099489999999,100,Not yet recruiting,"Mansoura University, Mansoura, Select A State Or Province, Egypt","<b>New Antiviral Drugs for Treatment of COVID-19</b><br /><i>Not yet recruiting, n = 100</i><br />Mansoura University, Mansoura, Select A State Or Province, Egypt"
Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,Ivermectin,-102.2598747,21.9140456,200,Recruiting,"Jose Manuel Arreola Guerra, Aguascalientes, Mexico","<b>Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection</b><br /><i>Recruiting, n = 200</i><br />Jose Manuel Arreola Guerra, Aguascalientes, Mexico"
Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19,Ivermectin,-99.133208,19.4326077,30,Recruiting,"Outpatient treatment, Mexico City, Mexico","<b>Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19</b><br /><i>Recruiting, n = 30</i><br />Outpatient treatment, Mexico City, Mexico"
Novel Agents for Treatment of High-risk COVID-19 Positive Patients,Ivermectin,-84.5073963,38.0311683,240,Recruiting,"University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States","<b>Novel Agents for Treatment of High-risk COVID-19 Positive Patients</b><br /><i>Recruiting, n = 240</i><br />University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States"
A Real-life Experience on Treatment of Patients With COVID 19,Ivermectin,30.9951138,30.80150149999999,120,Not yet recruiting,"Tanta university hospital, Tanta, Egypt","<b>A Real-life Experience on Treatment of Patients With COVID 19</b><br /><i>Not yet recruiting, n = 120</i><br />Tanta university hospital, Tanta, Egypt"
A Trial of Remdesivir in Adults With Severe COVID-19,Remdesivir,116.4231333,39.942654,237,Terminated,"Bin Cao, Beijing, Beijing, China","<b>A Trial of Remdesivir in Adults With Severe COVID-19</b><br /><i>Terminated, n = 237</i><br />Bin Cao, Beijing, Beijing, China"
A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,Remdesivir,114.2868443,30.6668794,308,Suspended,"Jin Yin-tan hospital, Wuhan, Hubei, China","<b>A Trial of Remdesivir in Adults With Mild and Moderate COVID-19</b><br /><i>Suspended, n = 308</i><br />Jin Yin-tan hospital, Wuhan, Hubei, China"
