"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04343092","Efficacy of Ivermectin as Add on Therapy in COVID19 Patients",,"Completed","No Results Available","COVID 19","Drug: Ivermectin (IVM)","Number of cured patients|Mean time to cure of the covid 19 patients","University of Baghdad","All","18 Years and older   (Adult, Older Adult)","Phase 1","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","PRO20040001","April 18, 2020","May 31, 2020","June 1, 2020","April 13, 2020",,"June 5, 2020","General Directorate of Medical City, Bagdad, Baghdad, Iraq",,"https://ClinicalTrials.gov/show/NCT04343092"
2,"NCT04373824","Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study",,"Recruiting","No Results Available","COVID","Drug: Ivermectin","effect of Ivermectin on eradication of virus.","Max Healthcare Insititute Limited","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MHC-COVID-19- INV- ACT-BHR","April 25, 2020","July 25, 2020","July 25, 2020","May 4, 2020",,"May 4, 2020","Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04373824"
3,"NCT04392713","Efficacy of Ivermectin in COVID-19",,"Recruiting","No Results Available","COVID","Drug: Ivermectin 6 MG Oral Tablet (2 tablets)","Negative PCR|Need for mechanical ventilation","Combined Military Hospital, Pakistan","All","15 Years to 65 Years   (Child, Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IVE-COV","April 15, 2020","July 2020","July 2020","May 19, 2020",,"May 19, 2020","Combined Military Hospital Lahore, Lahore, Punjab, Pakistan",,"https://ClinicalTrials.gov/show/NCT04392713"
4,"NCT04403555","Ivermectin and Doxycycine in COVID-19 Treatment",,"Not yet recruiting","No Results Available","COVID","Drug: Ivermectin|Drug: Doxycycline|Drug: Chloroquine","The number of patients with resolved viral infection","Tanta University","All","Child, Adult, Older Adult","Phase 2|Phase 3","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","tanta combo covid treatment","June 1, 2020","December 1, 2030","December 3, 2030","May 27, 2020",,"May 27, 2020","Sherief Abd-Elsalam, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04403555"
5,"NCT04422561","Prophylactic Ivermectin in COVID-19 Contacts",,"Recruiting","No Results Available","COVID","Drug: Ivermectin Tablets","appearance of symptoms ( fever ,cough, sore throat, myalgia,diarrhea, shortness of breath)|development of COVID","Zagazig University","All","16 Years to 70 Years   (Child, Adult, Older Adult)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","ZU-IRB#6150l31-5-2020","May 31, 2020","June 2020","July 2020","June 9, 2020",,"June 9, 2020","Zagazig University, Zagazig, Sharkia, Egypt",,"https://ClinicalTrials.gov/show/NCT04422561"
6,"NCT04351347","The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment",,"Not yet recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Nitazoxanide|Drug: Ivermectin","Number of patients with virological cure","Tanta University","All","Child, Adult, Older Adult","Phase 2|Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ivermecin covid","April 17, 2020","December 1, 2030","December 1, 2030","April 17, 2020",,"April 17, 2020","Tanta University, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04351347"
7,"NCT04399746","Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19","IvAzCol","Recruiting","No Results Available","COVID","Drug: Ivermectin|Drug: Azithromycin|Drug: Cholecalciferol","Viral clearance|Symptoms duration|SpO2|SpO2/FiO2","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IvAzCol","March 15, 2020","May 20, 2020","June 10, 2020","May 22, 2020",,"May 22, 2020","Outpatient treatment, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT04399746"
8,"NCT04381884","Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19",,"Recruiting","No Results Available","COVID-19 Drug Treatment","Drug: IVERMECTIN (IVER P®) arm will receive IVM 600 µg / kg once daily plus standard care. CONTROL arm will receive standard care.","Reduction in SARS-CoV-2 viral load|Number of patients with partial or complete response in COVID-19 clinical symptoms|Number of patients with worsening in the clinical condition|Number of patients with adverse events as a measure of safety and tolerability|Ivermectin concentrations measured in plasma|Evaluation of reactivity of the antibodies against SARS-CoV-2","Laboratorio Elea Phoenix S.A.|Universidad Nacional de Salta|Centro de Investigación Veterinaria Tandil CIVETAN|Hospital de Pediatría Prof Dr. Juan P. Garrahan|Universidad Nacional de Quilmes","All","18 Years to 69 Years   (Adult, Older Adult)","Phase 2","45","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IVM-AR-1","May 18, 2020","June 30, 2020","June 30, 2020","May 11, 2020",,"May 27, 2020","Centro de Educación Médica e Investigaciones Clínicas ""Norberto Quirno"" CEMIC, Buenos Aires, Ciudad De Buenos Aires, Argentina",,"https://ClinicalTrials.gov/show/NCT04381884"
9,"NCT04360356","Ivermectin and Nitazoxanide Combination Therapy for COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Combination Product: Ivermectin plus Nitazoxanide|Other: Standard Care","Number of Patients with COVID-19-negative PCR|Number of patients with improved respiratory rate|Number of patients with improved PaO2|Number of patients with normalized Serum IL6|Number of patients with normalized Serum TNFα|Number of patients with normalized Serum iron|Number of patients with normalized Serum ferritin|Number of patients with normalized International normalized ratio ""INR"" for prothrombin time|Number of patients with normalized complete blood count ""CBC""|The Mortality rate among treated patients","Tanta University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IVR/NTZ","May 2020","October 2020","December 2020","April 24, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04360356"
10,"NCT04374279","Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy","RECOVER","Not yet recruiting","No Results Available","COVID-19|SARS-CoV 2","Drug: Bicalutamide 150 Mg Oral Tablet|Drug: Ivermectin 3Mg Tab","Number of participants who have clinical improvement at day 7 after randomization|All-cause mortality|Duration of hospitalization|Percentage of patients needing upgrade to the intermediate care unit (IMC)|Duration of IMC stay|Percentage of patients needing upgrade to the intensive care unit (ICU)|Duration of ICU stay|Number of participants requiring mechanical ventilation|Duration of mechanical ventilation|Number of participants experiencing adverse events","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COV2003|IRB00249425","June 2020","June 2021","June 2021","May 5, 2020",,"May 5, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04374279"
