"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04317092","Tocilizumab in COVID-19 Pneumonia (TOCIVID-19)","TOCIVID-19","Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tocilizumab Injection","One-month mortality rate|Interleukin-6 level|Lymphocyte count|CRP (C-reactive protein) level|PaO2 (partial pressure of oxygen) / FiO2 (fraction of inspired oxygen, FiO2) ratio (or P/F ratio)|Change of the SOFA (Sequential Organ Failure Assessment)|Number of participants with treatment-related side effects as assessed by Common Terminology Criteria for Adverse Event (CTCAE) version 5.0|Radiological response|Duration of hospitalization|Remission of respiratory symptoms","National Cancer Institute, Naples","All","Child, Adult, Older Adult","Phase 2","400","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TOCIVID-19|2020-001110-38","March 19, 2020","December 19, 2020","December 19, 2022","March 20, 2020",,"April 7, 2020","Azienda Ospedaliera ""SS. Antonio e Biagio e C. Arrigo"" (Dipartimento Internistico SSD Reumatologia), Alessandria, Italy|Ospedale di Busto Arsizio ASST Valle Olona (U.O.C. Malattie Infettive), Busto Arsizio, Italy|A.O.U. Policlinico V. Emanuele (U.O. di Malattie infettive, U.O. di Anestesia e Rianimazione, U.O. di Medicina d'Urgenza), Catania, Italy|AOE Cannizzaro di Catania (U.O. di Malattie Infettive, U.O. di Anestesia e Rianimazione, U.O., Catania, Italy|Ospedale Annunziata Azienda Ospedaliera di Cosenza (U.O.C. Malattie Infettive), Cosenza, Italy|ASST OVEST MILANESE presidi Legnano - Magenta, Magenta, Italy|Azienda Ospedaliero-Universitaria di Modena, Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione I), Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione II), Modena, Italy|A.O.U. di Modena (Dipartimento Medicine Specialistiche - Struttura Complessa Malattie Infettive), Modena, Italy|Dipartimento Medicine Specialistiche - Struttura Complessa Malattie dell'Apparato Respiratorio, Modena, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Oncologia), Naples, Italy|National Cancer Institute, Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Anestesia Rianimazione e terapia intensiva), Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Malattie Infettive ad indirizzo respiratorio), Naples, Italy|A.O. Ospedali Riuniti Marche Nord - Presidio Ospedaliero San Salvatore di Pesaro (UOC Pronto Soccorso e Medicina d'Urgenza), Pesaro, Italy|Denominazione: UOC di Medicina e Chirurgia d'Accettazione e d'Urgenza dell'Ospedale Santa Maria delle Grazie di Pozzuoli, Pozzuoli, Italy|Ospedale Santa Maria delle Croci, AUSL della Romagna (U.O. Anestesia e Rianimazione), Ravenna, Italy|Grande Ospedale Metropolitano, Reggio Calabria, Reggio Calabria, Italy|Ospedale Infermi, AUSL della Romagna (U.O. Malattie Infettive), Rimini, Italy|Policlinico Gemelli (U.O.C. Dipartimento Scienze di Laboratorio e Infettivologiche), Rome, Italy|ASST Sette Laghi (Dipartimento di Medicina Interna), Varese, Italy|ASST Sette Laghi (Dipartimento Emergenze ed Urgenze), Varese, Italy|ASST Sette Laghi (U.O.C. Anestesia e Rianimazione Neurochirurgica e Generale), Varese, Italy|ASST Sette Laghi (U.O.C. Malattie Infettive e Tropicali), Varese, Italy|A.O.U. Integrata di Verona (Dip. Malattie Infettive), Verona, Italy|Ospedale Magalini (U.O. Malattie Infettive), Villafranca Di Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04317092"
2,"NCT04345445","Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression",,"Not yet recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Methylprednisolone","The proportion of patients requiring mechanical ventilation|Mean days of ventilation|The proportion of patients requiring ICU admission|Overall 28-day survival|Change in symptom severity assessed by the World Health Organization (WHO) Coronavirus Disease 2019 (COVID19) ordinal scale measured daily up to 7 days from baseline|Duration of hospital and ICU stay","University of Malaya","All","18 Years and older   (Adult, Older Adult)","Phase 3","310","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TVCS-COVID19","April 15, 2020","October 31, 2020","October 31, 2020","April 14, 2020",,"April 14, 2020","University Malaya Medical Centre, Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT04345445"
3,"NCT04331795","Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis","COVIDOSE","Completed","No Results Available","COVID-19","Drug: Tocilizumab","Clinical response|Biochemical response|Overall survival|Survival to hospital discharge|Progression of COVID-19 pneumonitis|Rate of non-elective mechanical ventilation|Duration of mechanical ventilation|Time to mechanical ventilation|Rate of vasopressor/inotrope utilization|Duration of vasopressor/inotrope utilization|Time to vasopressor or inotropic utilization|Number of ICU days|Duration of Increased Supplemental Oxygen Requirement from Baseline","University of Chicago","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB20-0515","April 4, 2020","June 5, 2020","June 5, 2020","April 2, 2020",,"June 9, 2020","University of Chicago Medicine, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04331795"
4,"NCT04412772","A RCT - Safety & Efficacy of Tocilizumab - Tx of Severe COVID-19: ARCHITECTS","ARCHITECTS","Recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Placebo","Clinical status (on a 7-point ordinal scale) at day 28|Clinical improvement|Mechanical Ventilation|Oxygenation","Queen's Medical Centre","All","18 Years to 95 Years   (Adult, Older Adult)","Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","RA-2020-019","June 1, 2020","December 31, 2021","December 31, 2021","June 2, 2020",,"June 2, 2020","Queen's Medical Center, Honolulu, Hawaii, United States",,"https://ClinicalTrials.gov/show/NCT04412772"
5,"NCT04377750","The Use of Tocilizumab in the Management of Patients Who Have Severe COVID-19 With Suspected Pulmonary Hyperinflammation",,"Recruiting","No Results Available","Covid19 Pneumonia","Drug: Tocilizumab","Survival","Hadassah Medical Organization|Sheba Medical Center|Wolfson Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 4","500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0224-20-HMO-CTIL","April 8, 2020","April 29, 2020","May 8, 2021","May 6, 2020",,"May 6, 2020","Hadassah Medical Orginisation, Jerusalem, Please Select:, Israel|Barzilai Medical Center, Ashkelon, Israel|Wolfson Medical Center, H̱olon, Israel|Sheba Medical Center, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT04377750"
6,"NCT04361032","Assessment of Efficacy and Safety of Tocilizumab Compared to DefeROxamine, Associated With Standards Treatments in COVID-19 (+) Patients Hospitalized In Intensive Care in Tunisia","TRONCHER","Not yet recruiting","No Results Available","COVID19|Intensive Care Unit","Drug: Tocilizumab Injection|Drug: Deferoxamine","the mortality rate","Abderrahmane Mami Hospital|Eshmoun Clinical Research Centre|Datametrix","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","260","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ECC2020-06","May 4, 2020","September 4, 2020","October 4, 2020","April 24, 2020",,"May 6, 2020","Eshmoun Clinical Research Centre/ Hôpital Abderrahmane Mami-Ariana, Ariana, Tunisia",,"https://ClinicalTrials.gov/show/NCT04361032"
7,"NCT04359667","Serum IL-6 and Soluble IL-6 Receptor in Severe COVID-19 Pneumonia Treated With Tocilizumab","UHID-COVID19","Not yet recruiting","No Results Available","COVID-19|Severe Pneumonia","Drug: Tocilizumab 20 MG/ML Intravenous Solution [ACTEMRA]","serum interleukin-6 and soluble interleukin-6 receptor as biomarkers of clinical outcomes in patients with severe coronavirus disease (COVID-19) pneumonia treated with tocilizumab","University Hospital for Infectious Diseases, Croatia","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","UHID-04","June 16, 2020","April 16, 2021","May 15, 2021","April 24, 2020",,"June 9, 2020","University Hospital for Infectious Diseases ""Dr Fran Mihaljevic"", Zagreb, Croatia",,"https://ClinicalTrials.gov/show/NCT04359667"
8,"NCT04332094","Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19","TOCOVID","Recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Hydroxychloroquine|Drug: Azithromycin","In-hospital mortality|Need for mechanical ventilation in the Intensive Care Unit","Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau|Instituto de Salud Carlos III","All","18 Years and older   (Adult, Older Adult)","Phase 2","276","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIBSP-COV-2020-23","April 2, 2020","September 2020","October 2020","April 2, 2020",,"April 7, 2020","Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04332094"
9,"NCT04377659","Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Drug: Tocilizumab","Progression of respiratory failure or death","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-185","May 1, 2020","May 1, 2021","May 1, 2021","May 6, 2020",,"May 29, 2020","Memorial Sloan Kettering Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04377659"
10,"NCT04424056","An Open Randomized Therapeutic Trial Using ANAKINRA, TOCILIZUMAB Alone or in Association With RUXOLITINIB in Severe Stage 2b and 3 of COVID19-associated Disease","INFLAMMACOV","Not yet recruiting","No Results Available","Covid19","Drug: Anakinra +/- Ruxolitinib (stages 2b/3)|Drug: Anakinra and Ruxolitinib (Advanced stage 3)|Drug: Tocilizumab +/- ruxolitinib (stages 2b/3)|Drug: Tocilizumab and Ruxolitinib (Advanced stage 3)|Other: Standard of care","Ventilation free days at D28","Assistance Publique Hopitaux De Marseille","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","216","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-23","September 1, 2020","September 30, 2022","November 1, 2022","June 9, 2020",,"June 9, 2020","Assistance Publique Hôpitaux de Marseille, Marseille, France",,"https://ClinicalTrials.gov/show/NCT04424056"
