Clinical Trial Title,,lng,lat,Drug
Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,,-1.663439,42.805408,Ivermectin
Efficacy of Ivermectin as Add on Therapy in COVID19 Patients,,44.3755185,33.3458996,Ivermectin
Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19,,-58.4053845,-34.5952261,Ivermectin
Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study,,77.2120291,28.527476,Ivermectin
Efficacy of Ivermectin in COVID-19,,74.3726762,31.5408931,Ivermectin
Ivermectin and Doxycycine in COVID-19 Treatment,,31.0023174,30.8055576,Ivermectin
Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy,,-76.5927362,39.2967385,Ivermectin
The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment,,30.9991409,30.7924391,Ivermectin
New Antiviral Drugs for Treatment of COVID-19,,31.3589223,31.0409949,Ivermectin
Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,,-102.2598747,21.9140456,Ivermectin
Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19,,-99.133208,19.4326077,Ivermectin
Novel Agents for Treatment of High-risk COVID-19 Positive Patients,,-84.5073963,38.0311683,Ivermectin
A Real-life Experience on Treatment of Patients With COVID 19,,30.9951138,30.8015015,Ivermectin
A Trial of Remdesivir in Adults With Severe COVID-19,,116.4231333,39.942654,Remdesivir
A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,,114.2868443,30.6668794,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.8441325,33.8520823,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.2688043,37.8642168,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.3824274,37.5923049,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.0888289,37.6979825,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.1288238,33.9191479,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.4323129,34.0723526,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-124.1424555,40.7839616,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.2957816,33.7886375,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.293899,34.0984583,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.3750021,34.0383728,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.5896036,34.1709445,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.6653709,33.5610031,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.186026,33.897404,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.0795279,37.3691517,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.9296357,33.624397,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.2582441,37.8235196,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.6086894,34.0324565,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.86362,33.779675,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.4302294,34.2189257,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.4694322,33.905076,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-121.2495341,38.765635,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-121.4694362,38.5713948,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.0951878,32.7913395,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-117.1251884,32.8297116,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.4385597,37.6587814,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.432128,37.7905249,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.4429971,37.7824144,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-121.8002512,37.2398041,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.1647052,37.7064867,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-121.9988333,37.3360472,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-118.4796445,34.0307739,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.7510442,38.4952463,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-122.1758669,37.4347593,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-104.8375727,39.7452818,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-104.9715971,39.7464498,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-104.9715971,39.7464498,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-104.9335815,39.7319823,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-105.086874,39.9699702,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-72.9355663,41.3044229,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-157.9000128,21.3632544,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-87.67369,41.8728476,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-87.6674637,41.8747917,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-87.5987133,41.7886079,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-86.1633559,39.7903409,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-91.547979,41.658974,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-90.1203167,29.9407282,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734) in Participants With Severe Coronavirus Disease (COVID-19),,-70.276399,43.6531739,Remdesivir
