source,rank,nct_number,title,acronym,status,study_results,conditions,interventions,outcome_measures,sponsor_collaborators,gender,age,phases,enrollment,funded_bys,study_type,study_designs,other_i_ds,start_date,primary_completion_date,completion_date,first_posted,results_first_posted,last_update_posted,locations,study_documents,url,drug
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,1,NCT04390594,Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,SEN-CoV-Fadj,Not yet recruiting,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + Azithromycin,SARS-CoV-2 viral load level|Vital status|Proportion of patients with serious adverse events reported during the clinical trial.|Length of hospitalization|Length of hospitalization in a resuscitation unit|Duration of oxygen therapy|Maximum quick SOFA (qSOFA) score during hospitalisation,"Institut Pasteur de Dakar|Fann Hospital, Senegal|Ministry of Health, Senegal|Diamniadio Children Hospital, Senegal|Dalal Jamm Hospital, Senegal",All,"15 Years and older   (Child, Adult, Older Adult)",Phase 3,258,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-002,"June 1, 2020","December 1, 2020","June 1, 2021","May 15, 2020",NA,"May 27, 2020","Infectious and Tropical Diseases Department, Fann Hospital, Dakar, Senegal|Diamniadio Children Hospital, Diamniadio, Senegal|Dalal Jamm Hospital, Guédiawaye, Senegal",NA,https://ClinicalTrials.gov/show/NCT04390594,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NCT04321278,Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020","Hospital de Urgência e Emergência de Rio Branco, Rio Branco, AC, Brazil|Hospital e Clínica São Roque, Ipiaú, BA, Brazil|Hospital da Cidade, Salvador, BA, Brazil|Hospital Maternidade São Vicente de Paulo, Barbalha, CE, Brazil|Hospital de Messejana Dr. Carlos Alberto Studart Gomes, Fortaleza, CE, Brazil|Hospital Unimed Cariri, Juazeiro Do Norte, CE, Brazil|Hospital Brasilia, Brasilia, DF, Brazil|Instituto de Cardiologia do Distrito Federal, Brasília, Distrito Federal, Brazil|Fundação Social Rural de Colatina, Colatina, Espirito Santo, Brazil|Hospital Estadual Jayme dos Santos Neves, Serra, ES, Brazil|Hospital Evangélico de Vila Velha, Vila Velha, ES, Brazil|Secretaria de Estado de Saúde de Goias, Goiânia, GO, Brazil|Santa Casa de Misericórdia de Belo Horizonte Santa Casa de BH, Belo Horizonte, MG, Brazil|Hospital Santa Paula, Passos, MG, Brazil|Santa Casa da Misericordia - UTI (São João Del Rey), São João Del Rei, MG, Brazil|Hospital Maternidade E Pronto Socorro Santa Lucia Ltda, Poços De Caldas, Minas Gerais, Brazil|Universidade Estadual de Londrina, Londrina, Paraná, Brazil|Hospital Adventista de Belém, Belém, Pará, Brazil|Hospital Adventista de Belem, Belem, PA, Brazil|Procape - Pronto S.Cardiologico de Pe.Prof.Luiz Tavares-, Recife, PE, Brazil|Liga Paranaense de Combate ao Câncer, Curitiba, PR, Brazil|Hospital Giselda Trigueiro, Natal, Rio Grande Do Norte, Brazil|Hospital Moinhos de Vento, Porto Alegre, Rio Grande Do Sul, Brazil|Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital Naval Marcílio Dias, Rio de Janeiro, RJ, Brazil|Hospital São Lucas, Rio De Janeiro, RJ, Brazil|Hospital Maternidade PROMATER, Natal, RN, Brazil|Associação Dr. Bartholomeu Tacchini, Bento Gonçalves, RS, Brazil|Hospital Geral de Caxias do Sul, Caxias Do Sul, RS, Brazil|Hospital Bruno Born, Lajeado, RS, Brazil|Hospital São Vicente de Paulo, Passo Fundo, RS, Brazil|Maestri E Kormann Consultoria Medico-Cientifica, Blumenau, Santa Catarina, Brazil|Sociedade Literaria e Caritativa Santo Agostinho, Criciúma, Santa Catarina, Brazil|Hospital Nereu Ramos, Florianópolis, SC, Brazil|Hospital Universitário Polydoro Ernani de São Thiago/HU - UFSC, Florianópolis, SC, Brazil|Centro Hospitalar Unimed, Joinville, SC, Brazil|Hospital Dona Helena, Joinville, SC, Brazil|Hospital Municipal Sao Jose, Joinville, SC, Brazil|Hospital Regional Hans Dieter Schmidt, Joinville, SC, Brazil|Faculdade de Medicina de Botucatu, Botucatu, SP, Brazil|nstituto de Pesquisa Clínica de Campinas, Campinas, SP, Brazil|Fundação do ABC (Hospital Estadual Mário Covas), Santo André, SP, Brazil|AC Camargo Cancer Center - Fundação Antonio Prudente, São Paulo, SP, Brazil|Casa de Saude Santa Marcelina, São Paulo, SP, Brazil|Hospital Alemão Oswaldo Cruz, São Paulo, SP, Brazil|Hospital Moriah, São Paulo, SP, Brazil|Hospital Nove de Julho, São Paulo, SP, Brazil|Hospital Santa Paula, São Paulo, SP, Brazil|Hospital São Camilo Pompeia, São Paulo, SP, Brazil|Fundação Pio XII, Barretos, São Paulo, Brazil|Santa Casa de Misericordia de Votuporanga, Votuporanga, São Paulo, Brazil|Hospital Israelita Albert Einstein, São Paulo, Brazil|Associacao Beneficente Siria, São Paulo, Brazil|Hospital Vila Santa Catarina, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Secretaria de Saúde do Estado de São Paulo, São Paulo, Brazil|Serv Social da Industria do papel, papelão e cortiça do estado de SP, São Paulo, Brazil|Sociedade Beneficente de Senhoras Hospital Sírio-Libanês, São Paulo, Brazil|Universidade Federal de São Paulo, São Paulo, Brazil",NA,https://ClinicalTrials.gov/show/NCT04321278,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,3,NCT04374903,Hydroxychloroquine in Combination With Azithromycin or Sirolimus for Treating COVID-19 Patients,COVID19-HOPE,Not yet recruiting,No Results Available,COVID-19 Patients,Drug: HCQ & AZ vs HCQ+SIR,Time to Clinical improvement (TTCI)|Clinical failure defined as death or need for Intubation and mechanical ventilation|Adverse effects|QT interval prolongation|Failure to continue assigned therapy|Time to viral clearance,King Hussein Cancer Center,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,58,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20 KHCC 74,"May 1, 2020","August 1, 2020","September 1, 2020","May 5, 2020",NA,"May 5, 2020","King Hussein Cancer Center, Amman, Jordan",NA,https://ClinicalTrials.gov/show/NCT04374903,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,4,NCT04345861,Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for COVID-19 Pneumonia (COVIDOC Trial),COVIDOC,Recruiting,No Results Available,"Coronavirus Infection|Pneumonia, Viral",Drug: Hydroxychloroquine + placebo|Drug: hydroxychloroquine + azithromycin,Time to clinical improvement of at least 1 level on the ordinal scale between Day 1 (day of the first administration of study drug) to Day 11 (day after last day of treatment).|Clinical status assessed by ordinal scale|transfer to ICU|Length of hospital day|Hospital Mortality|Need to Mechanical Ventilation|Occurence of grade 3-4 adverse event|QTc Lengthening|Evolution of pulmonary CT scan images,"University Hospital, Montpellier",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2|Phase 3,150,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",RECHMPL20_168,"April 11, 2020","September 6, 2020","April 6, 2021","April 15, 2020",NA,"April 24, 2020","Montpellier University hospital, Montpellier, France",NA,https://ClinicalTrials.gov/show/NCT04345861,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,5,NCT04322123,Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),Coalition-I,"Active, not recruiting",No Results Available,Coronavirus Infections,Drug: Hydroxychloroquine Oral Product|Drug: Hydroxychloroquine + azithromycin,Evaluation of the clinical status|Ordinal scale in 7 days|Need of intubation and mechanical ventilation|Use of mechanical ventilation during hospital stay|Use of non-invasive ventilation|Hospital Length of Stay|All-cause mortality|Thromboembolic complications|Acute renal disfunction|Number of days alive and free of respiratory support up to 15 days,Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|EMS,All,"18 Years and older   (Adult, Older Adult)",Phase 3,630,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Brazil COVID Coalition I Trial,"April 1, 2020","August 30, 2020","August 30, 2020","March 26, 2020",NA,"June 1, 2020","Hospital Geral Clériston Andrade, Feira De Santana, BA, Brazil|Hospital Ana Nery - HAN/SESAB, Salvador, BA, Brazil|HHospital SAMUR, Vitória Da Conquista, BA, Brazil|Hospital Geral de Vitória da Conquista, Vitória Da Conquista, BA, Brazil|Hospital de Brasília, Brasilia, DF, Brazil|Instituto de Cardiologia do Distrito Federal, Brasília, DF, Brazil|Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina, Colatina, ES, Brazil|Hospital Vila da Serra, Nova Lima, MG, Brazil|Santa Casa de Misericórdia de São João Del Rei, São João Del Rei, MG, Brazil|Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, PR, Brazil|Instituto Estadual do Cérebro Paulo Niemeyer, Rio De Janeiro, RJ, Brazil|Hospital Geral de Caxias do Sul, Caxias do Sul, RS, Brazil|Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil|Hospital São Francisco - Irmandade Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil|Hospital São José, Criciuma, SC, Brazil|Hospital Baía Sul - Baía Sul Medical Center, Florianópolis, SC, Brazil|Hospital Nereu Ramos, Florianópolis, Sc, Brazil|Centro Hospitalar Unimed, Joinville, SC, Brazil|Hospital de Amor - Unidade Barretos (Fundação PIO XII), Barretos, SP, Brazil|Casa de Saúde Santa Marcelina, São Paulo, SP, Brazil|Hospital Albert Einstein, São Paulo, SP, Brazil|Hospital Beneficência Portuguesa - Real e Benemérita Associação Portuguesa de Beneficência, São Paulo, SP, Brazil|Hospital BP Mirante - Real e Benemérita, São Paulo, SP, Brazil|Hospital das Clínicas da FMUSP, São Paulo, SP, Brazil|Hospital do Servidor Público Estadual - HSPE - IAMSPE, São Paulo, SP, Brazil|Hospital São Paulo - UNIFESP, São Paulo, SP, Brazil|Hospital Sírio-Libanês, São Paulo, SP, Brazil|Hospital SEPACO, São Paulo, S, Brazil",NA,https://ClinicalTrials.gov/show/NCT04322123,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,6,NCT04349592,Qatar Prospective RCT Of Therapy Eliminating Covid Transmission,Q-PROTECT,Not yet recruiting,No Results Available,Covid19,Drug: Hydroxychloroquine + Azithromycin|Drug: Hydroxychloroquine + Placebo|Other: Placebo + Placebo,Proportion of virologically cured (no virus detected) cases at day 6|The dichotomous virologic shedding endpoint as assessed at two weeks after study entry|Quantitative viral load (assessed with each virology testing set),Hamad Medical Corporation,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,456,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MRC-05-001,"April 14, 2020","May 14, 2020","May 30, 2020","April 16, 2020",NA,"April 16, 2020",NA,NA,https://ClinicalTrials.gov/show/NCT04349592,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,7,NCT04355052,"Open Label Study to Compare Efficacy, Safety and Tolerability of Hydroxychloroquine Combined With Azithromycin Compared to Hydroxychloroquine Combined With Camostat Mesylate and to ""no Treatment"" in SARS CoV 2 Virus",COSTA,Recruiting,No Results Available,COVID - 19,Drug: hydroxychloroquine in combination with camostat mesylate|Drug: Hydroxychloroquine in combination of Azithromycin,clinical state as reflected by NEWS scoring|positive PCR|prevention of ICU|prevention of assisted ventilation|prevention of ECMO|death,Sheba Medical Center,All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 3,250,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,7092-20-SMC,"April 11, 2020","October 11, 2020","December 11, 2020","April 21, 2020",NA,"April 21, 2020","Sheba Medical Center, Ramat Gan, Israel|Sheba Medical Center, Tel HaShomer, Israel",NA,https://ClinicalTrials.gov/show/NCT04355052,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,8,NCT04358081,Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,NA,Recruiting,No Results Available,Pneumonia,Drug: HCQ|Drug: HCQ+AZT|Drug: Placebo,Percentage of participants who achieve clinical response|Percentage of Participants with Viral Clearance|Number of participants receiving hydroxychloroquine or hydroxychloroquine and azithromycin with adverse events of hydroxychloroquin or hydroxychloroquine and azithromycin compared to placebo,Novartis Pharmaceuticals|Novartis,All,"18 Years and older   (Adult, Older Adult)",Phase 3,444,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CJWT629A12301,"May 1, 2020","June 25, 2020","July 24, 2020","April 22, 2020",NA,"May 21, 2020","Novartis Investigative Site, Los Angeles, California, United States|Novartis Investigative Site, San Francisco, California, United States|Novartis Investigative Site, Gainesville, Florida, United States|Novartis Investigative Site, Chicago, Illinois, United States|Novartis Investigative Site, Baton Rouge, Louisiana, United States|Novartis Investigative Site, Baltimore, Maryland, United States|Novartis Investigative Site, Baltimore, Maryland, United States|Novartis Investigative Site, Columbia, Missouri, United States|Novartis Investigative Site, Chapel Hill, North Carolina, United States|Novartis Investigative Site, Seattle, Washington, United States",NA,https://ClinicalTrials.gov/show/NCT04358081,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,9,NCT04347031,A Study of the Effectiveness of an Off Label Mefloquine Use for the Treatment of Patients With COVID19,NA,"Active, not recruiting",No Results Available,"Pneumonia, Viral|Respiratory Failure",Drug: Mefloquine|Drug: Hydroxychloroquine|Combination Product: Mefloquine + azithromycin + / - tocilizumab|Combination Product: Hydroxychloroquine + azithromycin + / - tocilizumab,1st primary endpoint for group 1|2nd primary endpoint for group 1|1st primary endpoint for group 2|2nd primary endpoint for group 2|1st secondary endpoint for group 1|2nd secondary endpoint for group 1|3d secondary endpoint for group 1|4th secondary endpoint for group 1|5th secondary endpoint for group 1|6th secondary endpoint for group 1|1st secondary endpoint for group 2|2nd secondary endpoint for group 2|3d secondary endpoint for group 2|4th secondary endpoint for group 2|5th secondary endpoint for group 2|6th secondary endpoint for group 2,Burnasyan Federal Medical Biophysical Center,All,18 Years to 60 Years   (Adult),Phase 2|Phase 3,320,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FL-01/20,"April 8, 2020","August 1, 2020","August 1, 2020","April 15, 2020",NA,"May 27, 2020","Burnasyan Federal Medical Biophysical Center FMBA of Russia, Moscow, Russian Federation",NA,https://ClinicalTrials.gov/show/NCT04347031,HCQ + Azithromycin
data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,10,NCT04338698,"Hydroxychloroquine, Oseltamivir and Azithromycin for the Treatment of COVID-19 Infection: An RCT",PROTECT,Not yet recruiting,No Results Available,COVID 19,Drug: Hydroxychloroquine|Drug: Oseltamivir|Drug: Azithromycin,Laboratory Result|Clinical Outcome,Shehnoor Azhar|Federal Task Force on Science & Technology notified by Government of Pakistan|University of Health Sciences Lahore,All,"18 Years and older   (Adult, Older Adult)",Phase 3,500,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment",12(06)/2016-Coord,"April 7, 2020","September 1, 2020","November 30, 2020","April 8, 2020",NA,"April 10, 2020",NA,NA,https://ClinicalTrials.gov/show/NCT04338698,HCQ + Azithromycin
