title,enrollment,status,locations,drug
Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,24,Recruiting,"Clinica Universidad de Navarra, Pamplona, Navarra, Spain",Ivermectin
Efficacy of Ivermectin as Add on Therapy in COVID19 Patients,100,Completed,"General Directorate of Medical City, Bagdad, Baghdad, Iraq",Ivermectin
Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19,45,Recruiting,"Centro de Educación Médica e Investigaciones Clínicas ""Norberto Quirno"" CEMIC, Buenos Aires, Ciudad De Buenos Aires, Argentina",Ivermectin
Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study,50,Recruiting,"Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",Ivermectin
Efficacy of Ivermectin in COVID-19,100,Recruiting,"Combined Military Hospital Lahore, Lahore, Punjab, Pakistan",Ivermectin
Ivermectin and Doxycycine in COVID-19 Treatment,40,Not yet recruiting,"Sherief Abd-Elsalam, Tanta, Egypt",Ivermectin
Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy,60,Not yet recruiting,"Johns Hopkins Hospital, Baltimore, Maryland, United States",Ivermectin
Ivermectin and Nitazoxanide Combination Therapy for COVID-19,100,Not yet recruiting,NA,Ivermectin
The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment,60,Not yet recruiting,"Tanta University, Tanta, Egypt",Ivermectin
New Antiviral Drugs for Treatment of COVID-19,100,Not yet recruiting,"Mansoura University, Mansoura, Select A State Or Province, Egypt",Ivermectin
Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,200,Recruiting,"Jose Manuel Arreola Guerra, Aguascalientes, Mexico",Ivermectin
Efficacy and Safety of Ivermectin and Doxycycline in Combination or IVE Alone in Patients With COVID-19 Infection.,72,Not yet recruiting,NA,Ivermectin
Efficacy of Ivermectin in Adult Patients With Early Stages of COVID-19,400,Not yet recruiting,NA,Ivermectin
Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19,30,Recruiting,"Outpatient treatment, Mexico City, Mexico",Ivermectin
Novel Regimens in COVID-19 Treatment,80,Not yet recruiting,NA,Ivermectin
Novel Agents for Treatment of High-risk COVID-19 Positive Patients,240,Recruiting,"University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States",Ivermectin
A Real-life Experience on Treatment of Patients With COVID 19,120,Not yet recruiting,"Tanta university hospital, Tanta, Egypt",Ivermectin
A Trial of Remdesivir in Adults With Severe COVID-19,237,Terminated,"Bin Cao, Beijing, Beijing, China",Remdesivir
A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,308,Suspended,"Jin Yin-tan hospital, Wuhan, Hubei, China",Remdesivir
