title,nct_number,locations,lng,lat,drug,source,rank,acronym,status,study_results,conditions,interventions,outcome_measures,sponsor_collaborators,gender,age,phases,enrollment,funded_bys,study_type,study_designs,other_i_ds,start_date,primary_completion_date,completion_date,first_posted,results_first_posted,last_update_posted,study_documents,url,popuptext
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Infectious and Tropical Diseases Department, Fann Hospital, Dakar, Senegal",-17.4641781,14.6947013,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,1,SEN-CoV-Fadj,Not yet recruiting,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + Azithromycin,SARS-CoV-2 viral load level|Vital status|Proportion of patients with serious adverse events reported during the clinical trial.|Length of hospitalization|Length of hospitalization in a resuscitation unit|Duration of oxygen therapy|Maximum quick SOFA (qSOFA) score during hospitalisation,"Institut Pasteur de Dakar|Fann Hospital, Senegal|Ministry of Health, Senegal|Diamniadio Children Hospital, Senegal|Dalal Jamm Hospital, Senegal",All,"15 Years and older   (Child, Adult, Older Adult)",Phase 3,258,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-002,"June 1, 2020","December 1, 2020","June 1, 2021","May 15, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04390594,"<b>Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal</b><br /><i>Not yet recruiting, n = 258</i><br />Infectious and Tropical Diseases Department, Fann Hospital, Dakar, Senegal"
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Diamniadio Children Hospital, Diamniadio, Senegal",-17.1636608,14.7268344,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,1,SEN-CoV-Fadj,Not yet recruiting,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + Azithromycin,SARS-CoV-2 viral load level|Vital status|Proportion of patients with serious adverse events reported during the clinical trial.|Length of hospitalization|Length of hospitalization in a resuscitation unit|Duration of oxygen therapy|Maximum quick SOFA (qSOFA) score during hospitalisation,"Institut Pasteur de Dakar|Fann Hospital, Senegal|Ministry of Health, Senegal|Diamniadio Children Hospital, Senegal|Dalal Jamm Hospital, Senegal",All,"15 Years and older   (Child, Adult, Older Adult)",Phase 3,258,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-002,"June 1, 2020","December 1, 2020","June 1, 2021","May 15, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04390594,"<b>Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal</b><br /><i>Not yet recruiting, n = 258</i><br />Diamniadio Children Hospital, Diamniadio, Senegal"
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Dalal Jamm Hospital, Guédiawaye, Senegal",-17.3996674,14.7753661,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,1,SEN-CoV-Fadj,Not yet recruiting,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + Azithromycin,SARS-CoV-2 viral load level|Vital status|Proportion of patients with serious adverse events reported during the clinical trial.|Length of hospitalization|Length of hospitalization in a resuscitation unit|Duration of oxygen therapy|Maximum quick SOFA (qSOFA) score during hospitalisation,"Institut Pasteur de Dakar|Fann Hospital, Senegal|Ministry of Health, Senegal|Diamniadio Children Hospital, Senegal|Dalal Jamm Hospital, Senegal",All,"15 Years and older   (Child, Adult, Older Adult)",Phase 3,258,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-002,"June 1, 2020","December 1, 2020","June 1, 2021","May 15, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04390594,"<b>Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal</b><br /><i>Not yet recruiting, n = 258</i><br />Dalal Jamm Hospital, Guédiawaye, Senegal"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital de Urgência e Emergência de Rio Branco, Rio Branco, AC, Brazil",-67.8142476,-9.9653701,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital de Urgência e Emergência de Rio Branco, Rio Branco, AC, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital e Clínica São Roque, Ipiaú, BA, Brazil",-39.7355667,-14.138779,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital e Clínica São Roque, Ipiaú, BA, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital da Cidade, Salvador, BA, Brazil",-38.4934735,-12.9571926,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital da Cidade, Salvador, BA, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Maternidade São Vicente de Paulo, Barbalha, CE, Brazil",-39.3027232,-7.3119638,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital Maternidade São Vicente de Paulo, Barbalha, CE, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital de Messejana Dr. Carlos Alberto Studart Gomes, Fortaleza, CE, Brazil",-38.498395,-3.8157832,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital de Messejana Dr. Carlos Alberto Studart Gomes, Fortaleza, CE, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Unimed Cariri, Juazeiro Do Norte, CE, Brazil",-39.3202759,-7.207309200000001,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital Unimed Cariri, Juazeiro Do Norte, CE, Brazil"
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Brasilia, Brasilia, DF, Brazil",-47.8828931,-15.8461712,HCQ + Azithromycin,data/clinical-trials-gov/2020-06-10/2020-06-10-clinical-trials-hcq-azithromycin.csv,2,NA,Recruiting,No Results Available,"Coronavirus Infections|Pneumonia, Viral",Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine,"Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death|Medium and long-term outcomes of SARS-CoV2 infection on morbimortality, daily life activities, mental health, and quality of life|Assess whether the tested therapies may be affected by leucocyte phenotype",Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network,All,"18 Years and older   (Adult, Older Adult)",Phase 3,440,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,30155020.5.1001.0071,"March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",NA,"May 27, 2020",NA,https://ClinicalTrials.gov/show/NCT04321278,"<b>Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)</b><br /><i>Recruiting, n = 440</i><br />Hospital Brasilia, Brasilia, DF, Brazil"
