Clinical Trial Title,NCT number,Trial Locations,lng,lat,Drug
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Infectious and Tropical Diseases Department, Fann Hospital, Dakar, Senegal",-17.4641781,14.6947013,HCQ + Azithromycin
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Diamniadio Children Hospital, Diamniadio, Senegal",-17.1636608,14.7268344,HCQ + Azithromycin
Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,NCT04390594,"Dalal Jamm Hospital, Guédiawaye, Senegal",-17.3996674,14.7753661,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital de Urgência e Emergência de Rio Branco, Rio Branco, AC, Brazil",-67.8142476,-9.9653701,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital e Clínica São Roque, Ipiaú, BA, Brazil",-39.7355667,-14.138779,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital da Cidade, Salvador, BA, Brazil",-38.4934735,-12.9571926,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Maternidade São Vicente de Paulo, Barbalha, CE, Brazil",-39.3027232,-7.3119638,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital de Messejana Dr. Carlos Alberto Studart Gomes, Fortaleza, CE, Brazil",-38.498395,-3.8157832,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Unimed Cariri, Juazeiro Do Norte, CE, Brazil",-39.3202759,-7.2073092,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Brasilia, Brasilia, DF, Brazil",-47.8828931,-15.8461712,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Instituto de Cardiologia do Distrito Federal, Brasília, Distrito Federal, Brazil",-47.9357361,-15.802223,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Fundação Social Rural de Colatina, Colatina, Espirito Santo, Brazil",-40.6296641,-19.5400456,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Estadual Jayme dos Santos Neves, Serra, ES, Brazil",-40.22743,-20.200262,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Evangélico de Vila Velha, Vila Velha, ES, Brazil",-40.3431333,-20.3460788,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Secretaria de Estado de Saúde de Goias, Goiânia, GO, Brazil",-49.2253596,-16.7313699,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Santa Casa de Misericórdia de Belo Horizonte Santa Casa de BH, Belo Horizonte, MG, Brazil",-43.9256173,-19.9247413,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Santa Paula, Passos, MG, Brazil",-46.6126084,-20.7135374,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Santa Casa da Misericordia - UTI (São João Del Rey), São João Del Rei, MG, Brazil",-44.2578585,-21.1356146,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Maternidade E Pronto Socorro Santa Lucia Ltda, Poços De Caldas, Minas Gerais, Brazil",-46.5559139,-21.8104355,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Universidade Estadual de Londrina, Londrina, Paraná, Brazil",-51.2003547,-23.3241912,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Adventista de Belém, Belém, Pará, Brazil",-48.4570948,-1.4354138,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Hospital Adventista de Belem, Belem, PA, Brazil",-48.4570948,-1.4354138,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Procape - Pronto S.Cardiologico de Pe.Prof.Luiz Tavares-, Recife, PE, Brazil",-34.8872499,-8.0491284,HCQ + Azithromycin
Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II),NCT04321278,"Liga Paranaense de Combate ao Câncer, Curitiba, PR, Brazil",NA,NA,HCQ + Azithromycin
